"group_id","tag_id"
"21564","381"
"21564","772"
"21564","1851"
"21564","6761"
"21564","8304"
"21564","10117"
"21564","10209"
"21564","14983"
"21564","15236"
"21564","15401"
"21564","15585"
"21564","15903"
"21564","17742"
"21564","37708"
"21564","44508"
"92081","212"
"171856","96"
"171856","4377"
"171856","8867"
"171856","47187"
"32596","106"
"32596","109"
"32596","7929"
"32596","10003"
"41796","116"
"41796","19061"
"41796","34283"
"41796","42985"
"41796","42986"
"91178","687"
"105434","1920"
"81440","2545"
"81462","2545"
"26279","2787"
"41930","468"
"95143","99"
"95143","8867"
"95143","10481"
"187311","455"
"187311","563"
"187311","789"
"187311","10164"
"206395","243"
"206395","992"
"206395","1204"
"206395","1322"
"206395","1948"
"206395","2030"
"206395","4417"
"206395","8649"
"206395","9816"
"206395","10306"
"206395","15478"
"206395","15738"
"206395","16144"
"206395","18608"
"206395","21136"
"208781","92"
"208781","119"
"208781","4010"
"208781","4422"
"208781","6786"
"208781","9753"
"208781","9772"
"208781","15067"
"208781","15984"
"208781","17407"
"208781","18340"
"208781","19061"
"208781","19163"
"208781","24508"
"213340","99"
"213340","716"
"213340","7040"
"213340","8867"
"213340","10503"
"213340","15013"
"213340","16240"
"213340","19690"
"213340","21989"
"213340","22080"
"213340","23245"
"213562","206"
"213562","223"
"213562","15731"
"213562","16613"
"213562","16615"
"213562","28062"
"213562","39880"
"214443","486"
"214443","770"
"214443","1052"
"214443","1400"
"214443","1545"
"214443","10290"
"214443","17252"
"214443","18170"
"214443","25187"
"214443","37479"
"214443","52356"
"221224","381"
"221224","1954"
"221224","4422"
"221224","9696"
"221224","10102"
"221224","10117"
"221224","10209"
"221224","15236"
"221224","17866"
"221224","21681"
"221224","23666"
"221732","1322"
"225454","885"
"225454","2064"
"225454","6364"
"225454","15088"
"225454","15516"
"225454","16165"
"225454","16502"
"225454","16899"
"225454","17028"
"225454","17041"
"225454","22568"
"225454","28595"
"225454","46403"
"226824","591"
"231955","498"
"231955","1091"
"231955","10333"
"231955","59433"
"232117","223"
"232117","242"
"232117","498"
"232117","611"
"232117","638"
"232117","713"
"232117","1091"
"232117","1273"
"232117","1459"
"232117","1998"
"232117","4422"
"232117","10117"
"232117","10454"
"232117","15892"
"232117","20246"
"233171","374"
"233171","638"
"235327","99"
"235327","716"
"235327","8867"
"235327","15013"
"235327","16240"
"235327","22080"
"235327","23245"
"235327","51110"
"235327","107616"
"236939","2064"
"240865","730"
"240865","763"
"240865","3740"
"240865","10315"
"245298","1040"
"245298","10209"
"245298","10579"
"245298","15582"
"245298","20837"
"249113","219"
"250600","110"
"250600","15984"
"250600","18340"
"250600","53434"
"251215","184"
"255459","2767"
"255459","15113"
"255459","15321"
"255459","15360"
"255459","15362"
"255459","17219"
"266199","2151"
"281267","411"
"281267","1046"
"281267","6533"
"281267","6672"
"283691","381"
"283691","389"
"283691","1330"
"283691","10117"
"285323","638"
"285323","933"
"285323","7789"
"299264","542"
"299264","914"
"299264","1502"
"299264","10581"
"299264","15029"
"299264","15626"
"299264","16011"
"299264","19665"
"299264","21183"
"299264","30873"
"299264","87634"
"300194","1307"
"300194","2088"
"300194","3485"
"300194","8431"
"300194","15920"
"300194","16268"
"300194","17234"
"305810","243"
"305810","2030"
"305810","3336"
"305810","3456"
"305810","8846"
"305810","9816"
"305810","84906"
"305810","873772"
"312195","211"
"312195","212"
"312195","228"
"312195","6669"
"312195","10099"
"312195","10232"
"312195","15675"
"312195","16459"
"312195","16523"
"312195","17320"
"312195","17350"
"312195","17626"
"312195","18528"
"312195","34030"
"312195","35706"
"322342","2151"
"324648","219"
"324648","234"
"324648","264"
"324648","382"
"324648","411"
"324648","1201"
"324648","1855"
"324648","4422"
"324648","5915"
"324648","8652"
"324648","10352"
"324648","15117"
"324648","15940"
"324648","16060"
"324648","23135"
"338667","1579"
"338667","1702"
"338667","1851"
"338667","4422"
"343999","243"
"343999","486"
"343999","774"
"343999","1322"
"343999","1948"
"343999","2030"
"343999","3382"
"343999","4417"
"343999","4422"
"343999","8649"
"343999","10290"
"343999","16144"
"343999","21136"
"349103","381"
"349103","1044"
"349103","1142"
"349103","4422"
"349103","10155"
"349103","10328"
"349103","10485"
"349103","16645"
"349103","17742"
"349103","18866"
"349103","20118"
"349103","96036"
"349103","1423462"
"349103","1425522"
"353888","675"
"353888","713"
"361667","408"
"361667","1983"
"361667","10306"
"361667","19462"
"361667","103106"
"362737","264"
"362737","713"
"362737","1459"
"362737","4422"
"362737","10451"
"362737","10454"
"362737","15892"
"362737","27700"
"362737","58395"
"365209","220"
"365209","1153"
"365209","7789"
"365209","18603"
"365209","18765"
"365209","20911"
"365209","24064"
"365209","24466"
"366695","242"
"366695","264"
"366695","374"
"366695","638"
"366695","713"
"366695","933"
"366695","1273"
"366695","4422"
"366695","10581"
"366695","15117"
"366695","15832"
"366695","15892"
"366695","16330"
"366695","17866"
"371251","256"
"375393","498"
"375393","611"
"375393","713"
"375393","1091"
"375393","3998"
"375393","4392"
"375393","4422"
"375393","17571"
"375393","17969"
"375393","20246"
"375393","38306"
"375832","228"
"375832","264"
"375832","498"
"375832","638"
"375832","713"
"375832","1998"
"375832","2767"
